# id | צמד מילים | דבר קשור | מאפיין
#
# pair    — מילה מופשטת שנקשרת מיד, ולא מאכל (אלה הרמזים)
# related — חפץ או מקום מקטגוריה אחרת שנמצא לְיָדוֹ
# trait   — תכונה אחת שמתאימה גם לעוד כמה מילים, ולא הגדרה של המילה
pizza | מִשְׁלוֹחַ | קֻפְסַת קַרְטוֹן | חוֹתְכִים לִמְנוֹת
malawach | תֵּימָן | מַחְבַּת | מִתְגַּלְגֵּל וְנִפְתָּח
jachnun | שַׁבָּת בַּבֹּקֶר | סִיר סָגוּר | מִתְבַּשֵּׁל לַיְלָה
crepe | צָרְפַת | מַחְבַּת שְׁטוּחָה | דַּק וּמְגֻלְגָּל
pancake | אֲמֶרִיקָה | מַחְבַּת | תָּפוּח וְעָגֹל
bread | מַאֲפִיָּה | סַכִּין | הַבָּסִיס לַכֹּל
bun | הַפְסָקָה | שַׂקִּית | נִכְנֶסֶת לַיַּלְקוּט
pita | שׁוּק | דֻּכָן | חֲלוּלָה
challah | שַׁבָּת | קִדּוּשׁ | קְלוּעָה
bagel | בֹּקֶר | שַׂקִּית נְיָר | חוֹר בָּאֶמְצַע
pretzel | טִיּוּל | דֻּכָן | קָשֶׁה וּמָלוּחַ
croissant | צָרְפַת | מַאֲפִיָּה | פָּרִיךְ וּמְתַפּוֹרֵר
slice | חִתּוּךְ | סַכִּין | דַּקָּה וְשָׁטוּחָה
toast | הַפְסָקָה | טוֹסְטֶר | חַם וְנִמְחָץ
sandwich | יַלְקוּט | שַׂקִּית | שְׁתֵּי שְׁכָבוֹת
matzah | פֶּסַח | קֻפְסָה גְּדוֹלָה | מִתְפּוֹרֶרֶת מְאֹד
cake | חֲגִיגָה | תַּבְנִית | חוֹתְכִים לְכֻלָּם
birthday-cake | מַשְׁאֶלֶת לֵב | נֵרוֹת | מְנַשְּׁפִים לְפָנֶיהָ
cookie | סַבְתָּא | צִנְצֶנֶת | נִשְׁבֶּרֶת בַּיָּד
cracker | גְּבִינָה צְהֻבָּה | קֻפְסָה | דַּק וּמָלוּחַ
waffle | יְרִיד | מְכוֹנָה חַמָּה | מְשֻׁבָּץ
doughnut | חֲנֻכָּה | סֻכָּר אַבְקָה | מְמֻלֵּאת וּמְטֻגֶּנֶת
latke | חֲנֻכָּה | פּוּמְפִּיָּה | מְטֻגֶּנֶת וּשְׁטוּחָה
hamantaschen | פּוּרִים | מִשְׁלוֹחַ | מְשֻׁלָּשׁ וְסָגוּר
icecream | קַיִץ | גָּבִיעַ | נָמֵס מַהֵר
popsicle | קַיִץ | מַקֵּל | צוֹבֵעַ לָשׁוֹן
artik | קַיִץ | מַקֵּל עֵץ | קָפוּא וְנוֹטֵף
chocolate | פִּנּוּק | עֲטִיפַת כְּסָפִים | נָמֵס בַּיָּד
candy | חֲנוּת | עֲטִיפָה | מַחְזִיקָה בַּפֶּה
lollipop | רוֹפֵא שִׁנַּיִם | מַקֵּל | מְלַקְּקִים אוֹתוֹ
gum | בּוּעוֹת | קֻפְסָה | לֹא נִבְלָע
marshmallow | מְדוּרָה | שִׁפּוּד | סְפוֹגִי וְנִמְתָּח
krembo | חֹרֶף | עֲטִיפָה מְפֻסֶּפֶסֶת | רַךְ מִבִּפְנִים
halva | שׁוּק | סַכִּין | מִתְפּוֹרֵר בַּיָּד
whipped-cream | קִשּׁוּט | מַקְצֵף | אַוְרִירִית וְקַלָּה
popcorn | קוֹלְנוֹעַ | דְּלִי נְיָר | קוֹפֵץ מֵהַחֹם
bamba | תִּינוֹקוֹת | שַׂקִּית כְּתֻמָּה | קַלָּה כָּאֲוִיר
bisli | הַפְסָקָה | שַׂקִּית | פָּרִיךְ וּמָלוּחַ
snack | יַלְקוּט | שַׂקִּית | קָטָן לַהַפְסָקָה
honey | רֹאשׁ הַשָּׁנָה | צִנְצֶנֶת | נִמְשָׁךְ בְּחוּט
jam | סַבְתָּא | צִנְצֶנֶת | נִדְבָּק לַכַּפִּית
spread | אֲרוּחַת עֶשֶׂר | סַכִּין | נִמְרָח בְּקַלּוּת
milk | פָּרָה | קַרְטוֹן | נִשְׁפָּךְ תָּמִיד
cheese | פּוּמְפִּיָּה | מְקָרֵר | נִמְתָּח כְּשֶׁחַם
cottage | דִּיאֶטָה | גְּבִיעַ | גַּרְגְּרִי
yogurt | בֹּקֶר | גְּבִיעַ | חֲמַצְמַץ
butter | אֲפִיָּה | סַכִּין | נָמֵס מִיָּד
cream | אֲפִיָּה | מִיקְסֶר | סְמִיכָה וּמַלְבִּינָה
porridge | חֹרֶף | קְעָרָה | חַם וְסָמִיךְ
cereal | בֹּקֶר | קֻפְסָה גְּדוֹלָה | פָּרִיךְ בַּקְּעָרָה
cornflakes | תִּירָס | קְעָרָה | נִרְטָב מַהֵר
salt | יָם | מַמְלָחָה | קַל לְהַגְזִים
sugar | מְתִיקוּת | כַּפִּית | נִמְסָה וְנֶעֱלָם
flour | אֲפִיָּה | שַׂק | מַלְבִּין הַכֹּל
oil | טִגּוּן | בַּקְבּוּק | מַשְׁאִיר כֶּתֶם
vinegar | הַר גַּעַשׁ | בַּקְבּוּק | רֵיחַ דּוֹקֵר
ketchup | קִיּוֹסְק | בַּקְבּוּק לוֹחֵץ | יוֹצֵא פִּתְאוֹם
mayonnaise | רֹטֶב לָבָן | צִנְצֶנֶת | נִמְרָח בַּכָּרִיךְ
mustard | חָרִיף | בַּקְבּוּק צָהֹב | טִפָּה מַסְפִּיקָה
sauce | הַגָּשָׁה | מַצֶּקֶת | מְכַסֶּה מִלְמַעְלָה
meal | מִשְׁפָּחָה | שֻׁלְחָן | יוֹשְׁבִים יַחַד
breakfast | בֹּקֶר | קֻפְסַת אֹכֶל | הָרִאשׁוֹנָה בַּיּוֹם
lunch | חֲזָרָה הַבַּיְתָה | סִיר | הַגְּדוֹלָה בַּיּוֹם
dinner | סוֹף יוֹם | מַפָּה | לִפְנֵי הַשֵּׁנָה
dessert | סוֹף | כַּפִּית קְטַנָּה | מְחַכִּים לוֹ
portion | הַזְמָנָה | צַלַּחַת | בְּדִיּוּק לְאֶחָד
menu | מִסְעָדָה | מְחִירִים | קוֹרְאִים וּמַחְלִיטִים
water | צָמָא | כּוֹס | בְּלִי טַעַם
juice | סְחִיטָה | קַשׁ | צוֹבֵעַ שְׂפָתַיִם
lemonade | קַיִץ | קוּבִּיּוֹת קֶרַח | חֲמַצְמַץ וְקָרִיר
limonana | קֵיטָנָה | בְּלֶנְדֶּר | יָרֹק וְקָפוּא
nectar | קֻפְסָה קְטַנָּה | קַשׁ | נִגְמָר מַהֵר
concentrate | הַכָּנָה | כַּד | מוֹסִיפִים מַיִם
syrup | קִיּוֹסְק | בַּקְבּוּק | מַסְפִּיקָה טִפָּה
soda | בּוּעוֹת | בַּקְבּוּק לוֹחֵץ | מְעַקְצֵץ בַּלָּשׁוֹן
gazoz | קִיּוֹסְק | כּוֹס גְּבוֹהָה | צִבְעוֹנִי וּמְבַעְבֵּעַ
cola | פַּחִית | כּוֹס קֶרַח | פְּתִיחָה רוֹעֶשֶׁת
choco | הַפְסָקָה | שַׂקִּית | שׁוֹתִים בְּקַשׁ
cocoa | חֹרֶף | סֵפֶל | מְנַחֵם כְּשֶׁקַּר
coffee | מְבֻגָּרִים | סֵפֶל | רֵיחַ שֶׁמַּעִיר
tea | קוּמְקוּם | שַׂקִּיק | שָׁקוּף וְחַם
milkshake | קַיִץ | בְּלֶנְדֶּר | סָמִיךְ בַּקַּשׁ
shake | בְּלֶנְדֶּר | כּוֹס גְּבוֹהָה | קָרִיר וְסָמִיךְ
smoothie | בְּרִיאוּת | קַשׁ עָבֶה | סָמִיךְ מְאֹד
