# id | צמד מילים | דבר קשור | מאפיין
#
# pair    — מילה מופשטת או פעולה, ולא מילה מאותה קטגוריה
# related — חפץ מקטגוריה אחרת שנמצא לְיָדוֹ
# trait   — תכונה אחת שמתאימה גם לעוד כמה מילים, ולא הגדרה
clothes | לְבִישָׁה | אָרוֹן | רַכִּים וְנוֹחִים
fabric | חֲנוּת | מִסְפָּרַיִם | רַךְ וְנִגְזָר
wool | חֹרֶף | מַסְרֵגוֹת | מְחַמֵּם וּמְגָרֵד
cotton | שָׂדֶה לָבָן | תַּחְבֹּשֶׁת | רַךְ וְנוֹשֵׁם
size | הַתְאָמָה | תָּג | לְפִי הַגּוּף
fashion | תְּצוּגָה | מַצְלֵמָה | מִתְחַלֶּפֶת תָּמִיד
color | קֶשֶׁת | קֻפְסַת טוּשִׁים | רוֹאִים בָּעֵינַיִם
red | עֲצֹר | רַמְזוֹר | חַם וְצוֹעֵק
orange-color | גֶּזֶר | תַּפּוּז | חַם וּבוֹהֵק
yellow | שֶׁמֶשׁ | לִימוֹן | בָּהִיר וְשָׂמֵח
green | דֶּשֶׁא | עָלִים | צֶבַע הַטֶּבַע
turquoise | בְּרֵכָה | אֲבָנִים | קָרִיר וּבָהִיר
blue | שָׁמַיִם | יָם | קַר וְרָגוּעַ
lightblue | דֶּגֶל | שָׁמַיִם בַּבֹּקֶר | בָּהִיר מְאֹד
purple | חָצִיל | עֲנָבִים | עָמֹק וּמַלְכוּתִי
pink | יוֹם הֻלֶּדֶת | לְבָבוֹת | עָדִין וּמְתוּק
brown | עֵץ | שׁוֹקוֹלָד | כֵּהֶה וְטִבְעִי
beige | חוֹל | קִיר | בָּהִיר וְעָדִין
black | לַיְלָה | פֶּחָם | מַסְתִּיר כְּתָמִים
white | שֶׁלֶג | חָלָב | הַבָּהִיר מִכֻּלָּם
gray | עֲנָנִים | אֶבֶן | בֵּינוֹנִי וְעָמוּם
gold | מָקוֹם רִאשׁוֹן | מֶדַלְיָה | מַבְרִיק וְיָקָר
silver | מָקוֹם שֵׁנִי | מֶדַלְיָה | מַבְרִיק וְקָרִיר
dark | תְּרִיס סָגוּר | לַיְלָה | הֵפֶךְ מִבָּהִיר
circle | גַּלְגַּל | מְחוּגָה | בְּלִי פִּנּוֹת
square-shape | חַלּוֹן | סַרְגֵּל | צְלָעוֹת שָׁווֹת
rectangle | דֶּלֶת | סַרְגֵּל | אָרֹךְ מִגָּבְהוֹ
triangle | גַּג | סַרְגֵּל | חַד בַּפִּנּוֹת
cube | מִשְׂחָק | קְלָפִים | לֹא שְׁטוּחָה
line | סַרְגֵּל | עִפָּרוֹן | יָשָׁר וְדַק
stripe | חֻלְצַת כַּדּוּרֶגֶל | מִכְחוֹל | חוֹזֵר וְנִשְׁנֶה
checks | לוּחַ שַׁחְמָט | מַפַּת שֻׁלְחָן | מְסֻדָּרוֹת בְּשׁוּרוֹת
dot | סוֹף מִשְׁפָּט | טוּשׁ | הַקְּטַנָּה מִכֻּלָּן
arrow | כִּוּוּן | שֶׁלֶט | מַצְבִּיעַ קָדִימָה
