# id | צמד מילים | דבר קשור | מאפיין
#
# pair    — מילה מופשטת או פעולה, ולא מילה מאותה קטגוריה
# related — חפץ מקטגוריה אחרת שנמצא לְיָדוֹ
# trait   — תכונה אחת שמתאימה גם לעוד כמה מילים, ולא הגדרה
room | פְּרָטִיּוּת | דֶּלֶת סְגוּרָה | מוּאָר וְנָעִים
blanket | קֹר | פִּיגָ'מָה | מְחַמֶּמֶת
sheet | כְּבִיסָה | גּוּמִיּוֹת | דַּק וְנִמְתָּח
closet | בְּגָדִים | נַעֲלַיִם | גָּבוֹהַּ וְסָגוּר
shelf | סְפָרִים | מַסְמֵר | שָׁטוּחַ וְתָלוּי
bookcase | קְרִיאָה | סְפָרִים | גְּבוֹהָה וּמְלֵאָה
drawer | סֵדֶר | גַּרְבַּיִם | נִשְׁלֶפֶת וְנִדְחֶפֶת
hanger | תְּלִיָּה | חֻלְצָה | דַּק וּמְעֻקָּל
lamp | קְרִיאָה | מַפְסֵק | מְאִירָה בְּפִנָּה
bulb | חַשְׁמַל | סֻלָּם | מִתְחַמֶּמֶת מַהֵר
candle | חֲנֻכָּה | גַּפְרוּר | נִדְלָק וְנִגְמָר
mirror | תַּסְרֹקֶת | שֵׂעָר רָטֹב | מַחְזִירָה דְּמוּת
picture | זִכָּרוֹן | מִסְגֶּרֶת | תְּלוּיָה וּשְׁטוּחָה
vase | פְּרָחִים | מַיִם | נִשְׁבָּר בְּקַלּוּת
flowerpot | צֶמַח | אֲדָמָה | עוֹמֵד בַּשֶּׁמֶשׁ
carpet | חֲמִימוּת | גַּרְבַּיִם | רַךְ לָרַגְלַיִם
curtain | פְּרָטִיּוּת | מוֹט | נִמְשָׁךְ הַצִּדָּה
clock | זְמַן | מַסְמֵר | מְתַקְתֵּק
fan | קַיִץ | חֹם כָּבֵד | מִסְתּוֹבֵב וְנוֹשֵׁב
airconditioner | חֹם | כִּתָּה | מוֹרִיד טֶמְפֶּרָטוּרָה
heater | חֹרֶף | גַּרְבֵּי צֶמֶר | אָדֹם וְזוֹהֵר
washer | נִקָּיוֹן | אַבְקָה | מִסְתּוֹבֶבֶת וּמְרַעֶשֶׁת
iron | בֶּגֶד מְקֻמָּט | קִיטוֹר | חַם וּמַחֲלִיק
vacuum | לִכְלוּךְ | פֵּרוּרִים | רוֹעֵשׁ מְאֹד
broom | לִכְלוּךְ | יָעֶה | אָרֹךְ וְקַל
squeegee | שְׁטִיפָה | דְּלִי | דּוֹחֵף מַיִם
cloth | נִגּוּב | כֶּתֶם | רַכָּה וּרְטֻבָּה
sponge | כֵּלִים | קֶצֶף | נִלְחָץ וְחוֹזֵר
soap | יָדַיִם | קֶצֶף | מַחֲלִיק וּמַקְצִיף
towel | יְבֵשׁוּת | חוֹף | גְּדוֹלָה וְרַכָּה
brush | שֵׂעָר | גּוּמִיָּה | זִיפִים קְטַנִּים
comb | תַּסְרֹקֶת | קוּקוּ | שִׁנַּיִם צָרוֹת
hair-dryer | אַחֲרֵי מִקְלַחַת | חֲלוּק רַחְצָה | חַם וְרַעֲשָׁן
basket | כְּבִיסָה | חֶבֶל | פָּתוּחַ לְמַעְלָה
bin | אַשְׁפָּה | שַׂקִּית | דַּוְשָׁה וּמִכְסֶה
suitcase | טִיסָה | דַּרְכּוֹן | נִפְתַּחַת לִשְׁנַיִם
bathtub | קֶצֶף | צַעֲצוּעַ מַיִם | גְּדוֹלָה וּמִתְמַלֵּאת
shower | בֹּקֶר | שַׁמְפּוֹ | טִפּוֹת מִלְמַעְלָה
sink | יָדַיִם | מַיִם זוֹרְמִים | קָעוּר וְקָטָן
toilet | נְיָר | הֲדָחָה | לְבָנָה וּמַבְרִיקָה
tap | מַיִם | דְּלִי | פּוֹתְחִים וְסוֹגְרִים
pot | בִּשּׁוּל | כַּפְפוֹת חֹם | עָמֹק וְכָבֵד
pan | טִגּוּן | שֶׁמֶן | שְׁטוּחָה וְחַמָּה
lid | סְגִירָה | קִיטוֹר | עָגֹל וְשָׁטוּחַ
kettle | תֵּה | שַׂקִּיק | שׁוֹרֵק כְּשֶׁמּוּכָן
baking-tin | עוּגָה | נְיָר אֲפִיָּה | מַתַּכְתִּית וּשְׁטוּחָה
grill | בָּשָׂר | פֶּחָמִים | מַשְׁחִיר בְּפַסִּים
skewer | מַנְגָּל | פֶּחָמִים | אָרֹךְ וּמְחֻדָּד
oven | אֲפִיָּה | כַּפְפוֹת חֹם | לוֹהֵט מִבִּפְנִים
stovetop | בִּשּׁוּל | גַּפְרוּר | לוֹהֲטוֹת וּשְׁטוּחוֹת
microwave | מְמַהֲרִים | צִפְצוּף | מְחַמֵּם בְּדַקָּה
toaster | הַפְסָקָה | גְּבִינָה | קוֹפֵץ כְּשֶׁמּוּכָן
fridge | קֹר | מַגְנֶטִים | נִפְתָּח תָּמִיד
freezer | גְּלִידָה | שַׂקִּיּוֹת | מִינוּס מַעֲלוֹת
dishwasher | אַחֲרֵי אֲרוּחָה | כֵּלִים מְלֻכְלָכִים | עוֹשֶׂה בִּמְקוֹמְךָ
blender | שֵׁיק | פֵּרוֹת | הוֹפֵךְ לְנוֹזֵל
mixer | בָּצֵק | קֶמַח | מְעַרְבֵּב מַהֵר
mill | תַּבְלִין | סִבּוּב | הוֹפֶכֶת לְאָבָק
grater | גְּבִינָה | זְהִירוּת | מְחֻסְפֶּסֶת וְחַדָּה
peeler | הֲכָנַת סָלָט | תַּפּוּחַ אֲדָמָה | חַדָּה וּקְטַנָּה
strainer | פַּסְטָה | מַיִם רוֹתְחִים | חוֹרִים קְטַנִּים
sieve | קֶמַח | עוּגָה | רֶשֶׁת דַּקָּה
funnel | מִלּוּי | שֶׁמֶן | רָחָב לְמַעְלָה
ladle | מָרָק | מִסְעָדָה | גְּדוֹלָה וַעֲמֻקָּה
whisk | עִרְבּוּב | בֵּיצִים | חוּטִים מְעֻקָּלִים
spatula | הִיפּוּךְ | לְבִיבָה | דַּקָּה וּשְׁטוּחָה
rolling-pin | בָּצֵק | קֶמַח | עָגֹל וּמִתְגַּלְגֵּל
cutting-board | הֲכָנַת אֹכֶל | יְרָקוֹת | שָׁטוּחַ וְעֵצִי
salt-shaker | טַעַם | מְלַפְפוֹן | מְנַעֲרִים אוֹתָהּ
scale | מַתְכּוֹן | קֶמַח | אוֹמֵר כַּמָּה
knife | פְּרִיסָה | לֶחֶם | חַדָּה וּמְסֻכֶּנֶת
fork | דְּקִירָה | פַּסְטָה | שִׁנַּיִם קְטַנּוֹת
spoon | מָרָק | דַּיְסָה | חֲלָקָה וַאֲרֻכָּה
teaspoon | סֻכָּר | תֵּה | הַקְּטַנָּה מִכֻּלָּן
plate | אֲרוּחָה | אֹכֶל חַם | עֲגֻלָּה וּשְׁטוּחָה
bowl | דִּגְנֵי בֹּקֶר | חָלָב | עֲגֻלָּה וַעֲמֻקָּה
glass | מַיִם | קַשׁ | שְׁקוּפָה וְנִשְׁבֶּרֶת
mug | קָקָאוֹ | שַׂקִּיק | עָבֶה וּמְחַמֵּם
jug | מַיִם קָרִים | קֶרַח | יָדִית וּפִיָּה
pitcher | מִיץ | קֶרַח | גָּבוֹהַּ וְצַר
bottle | צָמָא | תִּיק | צַוָּאר צַר
cork | סְגִירָה | יַיִן | קָטָן וְנִדְחָף
opener | פְּתִיחָה | פַּחִית | קָטָן וּמְעֻקָּל
thermos | טִיּוּל | תֵּה | שׁוֹמֵר חֹם
container | שְׁאֵרִיּוֹת | מִדְבָּקָה | נִסְגֶּרֶת בִּנְקִישָׁה
tray | הַגָּשָׁה | כּוֹסוֹת | שָׁטוּחַ וְנִשָּׂא
napkin | פֶּה | מִסְעָדָה | נְיָר וּמִתְקַפֶּלֶת
apron | בִּשּׁוּל | קֶשֶׁר מֵאָחוֹר | מֵגֵן מִכְּתָמִים
television | סֶרֶט | פּוֹפְקוֹרְן | יוֹשְׁבִים מוּלָהּ
remote | עַצְלָנוּת | חֲטִיפִים | נֶעֱלָם תָּמִיד
console | מִשְׂחָק | בַּקָּר | שְׁחֹרָה וּמְרֻבַּעַת
computer | עֲבוֹדָה | שִׁעוּרֵי בַּיִת | נָיָח וְכָבֵד
laptop | לִמּוּדִים | תִּיק | נִסְגָּר וְנִשָּׂא
tablet | צִיּוּר בְּאֶצְבַּע | מָגֵן זְכוּכִית | בְּלִי מִקְלֶדֶת
smartphone | שִׂיחָה | כִּיס | תָּמִיד אוֹבֵד
smartwatch | סְפּוֹרְט | רְצוּעָה | סוֹפֵר צְעָדִים
screen | סֶרֶט | אֶצְבַּע מְלֻכְלֶכֶת | דַּק וּמֵאִיר
keyboard-pc | כְּתִיבָה | אוֹתִיּוֹת | הַרְבֵּה כַּפְתּוֹרִים
mouse-pc | לְחִיצָה | מִשְׁטָח | נָע וְחָלָק
headphones | שֶׁקֶט בַּבַּיִת | מוּזִיקָה | פְּרָטִיּוֹת לְגַמְרֵי
speaker | מְסִבָּה | מוּזִיקָה | מַשְׁמִיעַ לְכֻלָּם
camera | חֲתוּנָה | אַלְבּוֹם | לוֹכֶדֶת רֶגַע
printer | דַּף | דְּיוֹ | רוֹעֶשֶׁת וּפוֹלֶטֶת
charger | אֶנֶרְגְיָה | תִּיק גַּב | מְחֻבָּר לַקִּיר
battery | צַעֲצוּעַ | מִינוּס וּפְלוּס | נִגְמֶרֶת בְּהַפְתָּעָה
cable | חִבּוּר | מִסְתַּבֵּךְ | אָרֹךְ וְדַק
socket | חַשְׁמַל | תֶּקַע | שְׁנֵי חוֹרִים
