# id | צמד מילים | דבר קשור | מאפיין
#
# pair    — מילה מופשטת או פעולה, ולא מילה מאותה קטגוריה
# related — חפץ מקטגוריה אחרת שנמצא לְיָדוֹ
# trait   — תכונה אחת שמתאימה גם לעוד כמה מילים, ולא הגדרה
car | נְהִיגָה | מַפְתֵּחַ | אַרְבַּע דְּלָתוֹת
house | מִשְׁפָּחָה | גַּג | נָמוּךְ וּפְרָטִי
apartment | מִסְפָּר | דֶּלֶת | חֵלֶק מִבִּנְיָן
level | מַדְרֵגוֹת | כַּפְתּוֹר | סוֹפְרִים מִלְּמַטָּה
neighborhood | שְׁכֵנִים | וַעַד בַּיִת | כַּמָּה רְחוֹבוֹת
city | תַּחְבּוּרָה | רַמְזוֹרִים | הַרְבֵּה שְׁכוּנוֹת
village | שֶׁקֶט | תַּרְנְגוֹלִים | קָטָן וְיָרֹק
park | פִּיקְנִיק | דֶּשֶׁא | יָרֹק וּפְתוּחַ
playground | יְלָדִים | חוֹל | מִתְקָנִים בַּחוּץ
zoo | חַיּוֹת | כְּלוּבִים | מְטַיְּלִים וּמִסְתַּכְּלִים
pool | קַיִץ | מִשְׁקָפֶת | כְּחֻלָּה וּמְלֻבֶּנֶת
stadium | אֲלָפִים | יְצִיעִים | עָנָק וְרַעֲשָׁן
bench | הַמְתָּנָה | קֶרֶשׁ | יוֹשְׁבִים בַּחוּץ
fountain | מִשְׁאָלָה | מַיִם קוֹלְחִים | מְפַזֶּרֶת טִפּוֹת
