# id | צמד מילים | דבר קשור | מאפיין
#
# pair    — מילה מופשטת או מקום, ולא פרי/ירק/צמח (אלה הרמזים)
# related — חפץ מקטגוריה אחרת שנמצא לְיָדוֹ
# trait   — תכונה אחת שמתאימה גם לעוד כמה מילים, ולא הגדרה
orange | חֹרֶף | מַסְחֵטָה | מִתְחַלֵּק לִפְלָחִים
pistachio | פִּצּוּחַ | קַעֲרִית | נִפְתָּח לְבַד קְצָת
cashew | קַעֲרִית | שַׂקִּית | מִתְעַקֵּל
pecan | עוּגָה | תַּבְנִית | מְפֻתָּל וְשָׁמֵן
seeds-snack | אִצְטַדְיוֹן | שַׂקִּית | מְפַצְּחִים בַּשִּׁנַּיִם
seeds-sesame | מַאֲפִיָּה | צִנְצֶנֶת | זְעִירִים וּמִתְפַּזְּרִים
pinenuts | סָלָט | מַחְבַּת | יְקָרִים מְאֹד
flower | אַגַּרְטָל | מִזְמֵרָה | נוֹתְנִים בְּמַתָּנָה
rose | אַהֲבָה | מִזְמֵרָה | דּוֹקֵר מִי שֶׁתּוֹפֵס
tulip | הוֹלַנְד | אַגַּרְטָל | גָּבִיעַ עַל גִּבְעוֹל
narcissus | חֹרֶף | אַגַּרְטָל | רֵיחַ חָזָק בַּחֶדֶר
anemone | דָּרוֹם | טִיּוּל בַּחֹרֶף | אָסוּר לִקְטֹף אוֹתָהּ
cyclamen | סֶלַע | סֶלַע לַח | מַרְכִּינָה אֶת הָרֹאשׁ
daisy | שָׂדֶה | זֵר קָטָן | קוֹטְפִים בֶּחָצֵר
sunflower | גִּבְעוֹל גָּבוֹהַּ | שָׂדֶה | פּוֹנֶה לְאֶן שֶׁהַשֶּׁמֶשׁ
orchid | מַתָּנָה | עָצִיץ | מַחְזִיקָה חֳדָשִׁים
bouquet | מַזָּל טוֹב | סֶרֶט | אוֹסֶף שֶׁל כַּמָּה
bud | אָבִיב | עָצִיץ | עוֹד יִפָּתַח
tree | צֵל | חֶבֶל לְנַדְנֵדָה | מְחַזִּיק שָׁנִים
bush | גָּדֵר | מִזְמֵרָה | נָמוּךְ וְסָבוּךְ
palmtree | מִדְבָּר | סֻלָּם | גָּבוֹהַּ וְיָשָׁר
pine | מַחְטִים | קִשּׁוּט חַג | יָרֹק גַּם בַּחֹרֶף
cypress | דֶּרֶךְ | שֶׁלֶט | גָּבוֹהַּ וְצַר
oak | יַעַר | סַנְאִי | עָבֶה וְחָזָק
willow | נַחַל | סַפְסָל | הָעֲנָפִים יוֹרְדִים לְמַטָּה
cactus | מִדְבָּר | כְּפָפוֹת | אוֹגֵר מַיִם
thorn | דְּקִירָה | כְּפָפוֹת | מַכְאִיב לְמִי שֶׁתּוֹפֵס
pinecone | יַעַר | סַלְסִלָּה | נִפְתָּח וְנִסְגָּר לְפִי הָאֲוִיר
leaf | סְתָיו | מַגְרֵפָה | מַחְלִיף צֶבַע
branch | קֵן | מִזְמֵרָה | מִסְתָּעֵף
trunk | חֹזֶק | חֶבֶל | עָבֶה וְאֵיתָן
root | מַיִם | אֵת | לֹא רוֹאִים אוֹתוֹ
seed | סַבְלָנוּת | עָצִיץ | קָטָן וְיִהְיֶה גָּדוֹל
seedling | טוּ בִּשְׁבָט | מַזְלֵף | צָעִיר וְרַךְ
grass | חָצֵר | מַכְסֵחָה | נִדְרָךְ וְקָם
lawn | פִּיקְנִיק | מַזְלֵף | צָרִיךְ גִּזּוּם
gardenpatch | בַּיִת | מַזְלֵף | פִּנָּה יְרֻקָּה
greenhouse | חֹם | יְרִיעָה | לַח בִּפְנִים
orchard | שׁוּרוֹת | אַרְגָּז | מְסֻדָּר לְגַמְרֵי
vineyard | גִּבְעָה | אַרְגָּז | שׁוּרוֹת נְמוּכוֹת
peel | לִכְלוּךְ | פַּח | זוֹרְקִים אוֹתָהּ
pit | זְרִיקָה | פַּח | קָשֶׁה וּבָאֶמְצַע
bunch | יַחַד | מִסְפָּרַיִם | הַרְבֵּה עַל גִּבְעוֹל אֶחָד
