# id | צמד מילים | דבר קשור | מאפיין
#
# pair    — מילה מופשטת או פעולה, ולא מילה מאותה קטגוריה
# related — חפץ מקטגוריה אחרת שנמצא לְיָדוֹ
# trait   — תכונה אחת שמתאימה גם לעוד כמה מילים, ולא הגדרה
classroom | לְמִידָה | שֻׁלְחָנוֹת בְּשׁוּרוֹת | מָקוֹם קָבוּעַ
band | חֲבֵרִים | הוֹפָעָה | כַּמָּה יַחַד
piano | הוֹפָעָה | כִּסֵּא מִסְתּוֹבֵב | כָּבֵד וְנָיָח
keys | חַשְׁמַל | שֶׁקַע | לֹא מְכֻוָּן
guitar | מְדוּרָה | נַרְתִּיק | נִשֵּׂאת בְּקַלּוּת
electric-guitar | רוֹק | מַגְבֵּר | רוֹעֶשֶׁת מְאֹד
bass-guitar | קֶצֶב | מַגְבֵּר | צְלִיל עָמֹק
ukulele | הַוַאי | חוֹף | קְטַנְטַנָּה וּשְׂמֵחָה
violin | סַנְטֵר | נַרְתִּיק | מֻנָּח בַּכָּתֵף
cello | אוּלָם | כִּסֵּא | נִצָּב בָּרִצְפָּה
harp | מַלְאָכִים | אַרְמוֹן | פּוֹרְטִים בָּאֶצְבָּעוֹת
bow | הַעֲבָרָה | שֵׂעָר סוּס | אָרֹךְ וְדַק
string | רְעִידָה | מַתָּח | נִקְרָע בְּמֶתַח
flute | נְשִׁימָה | חוֹרִים | עָדִין וְגָבוֹהַּ
recorder | כִּתָּה ג | תִּיק | הָרִאשׁוֹן שֶׁלּוֹמְדִים
clarinet | אוּלָם | פִּיּוֹנִית | שָׁחֹר וְאָרֹךְ
saxophone | ג'ָז | פִּיּוֹנִית | מַתְכַּתִּי וּמְעֻקָּל
trumpet | טֶקֶס | בּוּכְנוֹת | קוֹלִי וְזָהֹב
shofar | רֹאשׁ הַשָּׁנָה | בֵּית כְּנֶסֶת | טִבְעִי לְגַמְרֵי
harmonica | כִּיס | רַכֶּבֶת | קְטַנְטַנָּה וּמַתְכַּתִּית
accordion | רִקּוּד עַם | רְצוּעוֹת כָּתֵף | נִפְתָּח וְנִסְגָּר
drum | קֶצֶב | מַקְלוֹת | מַכִּים עָלָיו
drumset | רַעַשׁ | דַּוְשָׁה | תּוֹפֵס מָקוֹם
darbuka | מְדוּרָה | חוֹף | מַכִּים בַּיָּדַיִם
tambourine | גַּן | פַּעֲמוֹנִים קְטַנִּים | מְנַעֲרִים אוֹתוֹ
cymbals | סִיּוּם | מַצְעָד | מַכִּים בְּזוּג
drumstick | הַקָּשָׁה | זוּג | דַּק וְקָצָר
xylophone | גַּן | מַקִּישִׁים | לוּחוֹת שׁוֹנִים
bell | דֶּלֶת | חוּט | מְצַלְצֵל כְּשֶׁמֵּזִיזִים
gong | הַכְרָזָה | פַּטִּישׁ רַךְ | צְלִיל נִמְשָׁךְ
microphone | קוֹל | כֶּבֶל | מַגְבִּיר קוֹל
note | חָמֵשׁ שׁוּרוֹת | סְטֶנְדֶּר | סִימָן קָטָן
melody | שִׁיר | רָדִיוֹ | נִתְפֶּסֶת בָּרֹאשׁ
rhythm | מְחִיאַת כַּפַּיִם | מֶטְרוֹנוֹם | חוֹזֵר וְנִשְׁנֶה
orchestra | מְנַצֵּחַ | שַׁרְבִיט | כֵּלִים רַבִּים
choir | בְּיַחַד | שׁוּרוֹת | קוֹלוֹת מִתְמַזְּגִים
concert | כַּרְטִיסִים | אוּלָם | עֶרֶב אֶחָד
