# id | צמד מילים | דבר קשור | מאפיין
#
# pair    — מילה מופשטת או פעולה, ולא מילה מאותה קטגוריה
# related — חפץ מקטגוריה אחרת שנמצא לְיָדוֹ
# trait   — תכונה אחת שמתאימה גם לעוד כמה מילים, ולא הגדרה
doctor | בְּרִיאוּת | חָלוּק לָבָן | מַקְשִׁיב לַלֵּב
flight-attendant | טִיסָה | עֲגָלָה | מַרְאֶה אֶת הַיְּצִיאוֹת
sailor | סְפִינָה | חֶבֶל עָבֶה | חֳדָשִׁים רְחוֹקִים מֵהַבַּיִת
driver | הֶגֶה | רִשְׁיוֹן | יוֹשֵׁב שָׁעוֹת
mailman | תֵּבַת מִכְתָּבִים | קֶטְנוֹעַ | מַגִּיעַ בְּלִי שֶׁקּוֹרְאִים לוֹ
chef | מִסְעָדָה | כּוֹבַע לָבָן גָּבוֹהַּ | מַחְלִיט מָה בַּתַּפְרִיט
cook | סִיר | סִינָּר | בַּמִּטְבָּח כָּל הַיּוֹם
baker | לִפְנֵי הַזְּרִיחָה | קֶמַח | קָם כְּשֶׁכֻּלָּם יְשֵׁנִים
butcher | בָּשָׂר | סַכִּין גְּדוֹלָה | עוֹבֵד בְּקֹר
waiter | הַזְמָנָה | מַגָּשׁ | זוֹכֵר הַכֹּל בָּרֹאשׁ
seller | קֻפָּה | עֹדֶף | עוֹמֵד מֵאָחוֹר לַדֶּלְפֵּק
farmer | שָׂדֶה | טְרַקְטוֹר | קָם עִם הַשֶּׁמֶשׁ
gardener | גִּנָּה | מִזְמֵרָה | גּוֹזֵם וּמַשְׁקֶה
shepherd | עֵדֶר | מַקֵּל | הוֹלֵךְ לְאַט אַחֲרֵי אֲחֵרִים
fisherman | סַבְלָנוּת | חַכָּה | מְחַכֶּה שָׁעוֹת בְּשֶׁקֶט
actor | תַּסְרִיט | בָּמָה | נִכְנָס לִדְמוּת
singer | שִׁיר | מִיקְרוֹפוֹן | עוֹלֶה לַבָּמָה
musician | תָּוִים | נַרְתִּיק | עוֹשֶׂה בְּלִי לְדַבֵּר
dancer | מוּזִיקָה | נַעֲלֵי בָּלֶט | הַגּוּף מְסַפֵּר
clown | קִרְקָס | אַף אָדֹם | נַעֲלַיִם עֲנָקִיּוֹת
magician | קֶסֶם | כּוֹבַע | מַסְתִּיר מָה שֶׁעוֹשֶׂה
acrobat | קִרְקָס | חֶבֶל דַּק | מִתְהַפֵּךְ בָּאֲוִיר
artist | דִּמְיוֹן | כַּן צִיּוּר | יָדַיִם מְלֻכְלָכוֹת בְּצֶבַע
sculptor | חֹמֶר | אַזְמֵל | עוֹשֶׂה מִגּוּשׁ צוּרָה
photographer | רֶגַע | מַצְלֵמָה | תָּמִיד מֵאָחוֹר לָעֲדָשָׁה
writer | מִלִּים | מַחְבֶּרֶת | יוֹשֵׁב לְבַדּוֹ שָׁעוֹת
journalist | חֲדָשׁוֹת | פִּנְקָס | שׁוֹאֵל שְׁאֵלוֹת
barber | תִּסְפֹּרֶת | מִסְפָּרַיִם | מְדַבֵּר הַרְבֵּה
tailor | מִדָּה | סֶרֶט מִדָּה | תּוֹפֵר לְפִי הַגּוּף
mother | חִבּוּק | אַלְבּוֹם | הָרִאשׁוֹנָה שֶׁקּוֹרְאִים לָהּ
father | כְּתֵפַיִם | כְּלֵי עֲבוֹדָה | מֵרִים לְמַעְלָה
parents | חֲתִימָה עַל תְּעוּדָה | מְכוֹנִית | שְׁנֵי גְּדוֹלִים
grandmother | עוּגָה | סְוֶדֶר סָרוּג | מְפַנֶּקֶת בְּלִי גְּבוּל
grandfather | סִפּוּרִים | שָׁעוֹן יָשָׁן | זוֹכֵר מִלִּפְנֵי הַרְבֵּה
brother | חֶדֶר מְשֻׁתָּף | מִשְׂחָק | רָבִים וּמִתְפַּיְּסִים
twins | אוֹתוֹ יוֹם הֻלֶּדֶת | עֲגָלָה כְּפוּלָה | קָשֶׁה לְהַבְדִּיל
uncle | חַג | שֻׁלְחָן עָרוּךְ | אָח שֶׁל אַבָּא אוֹ אִמָּא
aunt | אֵרוּחַ | עוּגָה | אָחוֹת שֶׁל אַבָּא אוֹ אִמָּא
cousin | חַג | שֻׁלְחָן גָּדוֹל | נִפְגָּשִׁים בְּחַגִּים
grandchild | פִּנּוּק | תְּמוּנָה עַל הַמְּקָרֵר | הַקָּטָן בַּמִּשְׁפָּחָה
baby | עֲרִיסָה | חִתּוּל | בּוֹכֶה וְיָשֵׁן
toddler | צַעֲדִים רִאשׁוֹנִים | עֲגָלָה | נוֹפֵל וְקָם
boy | חָצֵר | כַּדּוּר | רָץ בְּלִי לְהִתְעַיֵּף
girl | חָצֵר | חֶבֶל קְפִיצָה | קוֹפֶצֶת וְשָׁרָה
teenager | תִּיכוֹן | אָזְנִיּוֹת | עוֹנֶה בְּמִלָּה אַחַת
grownup | עֲבוֹדָה | רִשְׁיוֹן נְהִיגָה | מַחְלִיט לְבַד
friend | סוֹד | מִשְׂחָק מְשֻׁתָּף | בּוֹחֲרִים אוֹתוֹ
neighbor | קִיר מְשֻׁתָּף | חֲנִיָּה | גָּר קָרוֹב
guest | דְּפִיקָה בַּדֶּלֶת | עוּגָה | בָּא וְהוֹלֵךְ
bride | חֲתוּנָה | שִׂמְלָה לְבָנָה | כֻּלָּם מִסְתַּכְּלִים עָלֶיהָ
groom | חֲתוּנָה | חֲלִיפָה | עוֹמֵד לְיָדָהּ
king | כֶּתֶר | כִּסֵּא | מַחְלִיט בַּמַּמְלָכָה
queen | כֶּתֶר | אַרְמוֹן | יוֹשֶׁבֶת לְיַד הַכִּסֵּא
prince | אַרְמוֹן | סוּס | יִהְיֶה מֶלֶךְ
princess | אַרְמוֹן | נַעַל זְכוּכִית | בַּסִּפּוּרִים
knight | חֶרֶב | שִׁרְיוֹן | רוֹכֵב וּמֵגֵן
pirate | אוֹצָר | דֶּגֶל שָׁחֹר | רְטִיָּה עַל הָעַיִן
giant | צְעָדִים שֶׁמַּרְעִידִים | נַעַל עֲנָקִית | לֹא נִכְנָס בַּדֶּלֶת
fairy | קֶסֶם | שַׁרְבִיט | כְּנָפַיִם קְטַנּוֹת
hero | הַצָּלָה | גְּלִימָה | לֹא מְפַחֵד
thief | גְּנֵבָה | שַׂק | בָּא בַּלַּיְלָה
rosh-hashana | שָׁנָה חֲדָשָׁה | תַּפּוּח בִּדְבַשׁ | תּוֹקְעִים בּוֹ
yom-kippur | סְלִיחָה | אוֹפַנַּיִם בָּרְחוֹב | הַשָּׁקֵט בַּשָּׁנָה
sukkot | אוֹכְלִים בַּחוּץ | אַרְבָּעָה מִינִים | שָׁבוּעַ שָׁלֵם
simchat-torah | רִקּוּדִים | דְּגָלִים | מַקִּיפִים שֶׁבַע פְּעָמִים
hanukkah | שֶׁמֶן | סֻפְגָּנִיּוֹת | נֵר נוֹסָף כָּל לַיְלָה
tu-bishvat | עֵצִים | פֵּרוֹת יְבֵשִׁים | נוֹטְעִים שְׁתִילִים
purim | תַּחְפֹּשֶׂת | מְגִלָּה | מַצְחִיק וְרַעֲשָׁן
pesach | חֵרוּת | מַצּוֹת | שָׁבוּעַ בְּלִי לֶחֶם
yom-haatzmaut | מְדִינָה | דְּגָלִים עַל מְכוֹנִיּוֹת | זִקּוּקִים בַּשָּׁמַיִם
lag-baomer | מְדוּרָה | עֵצִים | לַיְלָה בַּחוּץ
shavuot | בִּכּוּרִים | סַלִּים | לָבָן וּמַאֲכְלֵי חָלָב
tisha-beav | עֶצֶב | סִפּוּרִים עַל פַּעַם | יוֹשְׁבִים עַל הָרִצְפָּה
shabbat | מְנוּחָה | חַלָּה | פַּעַם בְּשָׁבוּעַ
sukkah | סְכָךְ | קִשּׁוּטִים תְּלוּיִים | בּוֹנִים כָּל שָׁנָה מֵחָדָשׁ
lulav | נִעְנוּעַ | הֲדַס | יָרֹק וְאָרֹךְ
etrog | זְהִירוּת | קֻפְסָה מְרֻפֶּדֶת | רֵיחָנִי וְיָקָר
hanukkiah | שַׁמָּשׁ | פַּמּוֹטִים | תּוֹסֶפֶת כָּל יוֹם
dreidel | סִבּוּב | גִּימֶל | מִסְתּוֹבֵב וְנוֹפֵל
shabbat-candles | עֶרֶב שַׁבָּת | פַּמּוֹטִים | מַדְלִיקִים לִפְנֵי הַשְּׁקִיעָה
kiddush | גָּבִיעַ | יַיִן | אוֹמְרִים לִפְנֵי הָאֲרוּחָה
mishloach-manot | נְתִינָה | סַלְסִלָּה | שׁוֹלְחִים לַחֲבֵרִים
noisemaker | מְגִלָּה | תַּחְפֹּשֶׂת | מַרְעִישִׁים בּוֹ בְּכַוָּנָה
seder | קְעָרָה | מַצּוֹת | הַכֹּל לְפִי שְׁלַבִּים קְבוּעִים
haggadah | קְרִיאָה בְּיַחַד | סִימָנִיָּה | אוֹתוֹ סֵדֶר כָּל שָׁנָה
afikoman | חִפּוּשׂ | מַחְבּוֹא | מִסְתַּתֵּר בַּבַּיִת
torah | קְרִיאָה | עֵץ חַיִּים | כְּתוּבָה בְּיָד
siddur | בֵּית כְּנֶסֶת | כְּרִיכָה | פּוֹתְחִים כָּל בֹּקֶר
prayer | בַּקָּשָׁה | לַחַשׁ | אוֹמְרִים בְּשֶׁקֶט
mezuzah | דֶּלֶת | קְלָף | נוֹגְעִים בָּהּ בַּכְּנִיסָה
fast | רָעָב | שָׁעוֹן | בְּלִי אֹכֶל וּמַיִם
charity | נְתִינָה | קֻפָּה | נוֹתְנִים בְּלִי לְבַקֵּשׁ בַּחֲזָרָה
mitzvah | מַעֲשֶׂה טוֹב | לֵב | עוֹשִׂים בְּלִי שֶׁיִּרְאוּ
bar-mitzvah | גִּיל שְׁלוֹשׁ עֶשְׂרֵה | טַלִּית | עוֹלֶה לַתּוֹרָה
bat-mitzvah | גִּיל שְׁתֵּים עֶשְׂרֵה | אוּלָם | חוֹגְגִים גְּדִילָה
chuppah | חֲתוּנָה | אַרְבָּעָה עַמּוּדִים | עוֹמְדִים תַּחְתֶּיהָ
party | חֲבֵרִים | מוּזִיקָה | רַעֲשָׁנִית וּשְׂמֵחָה
present | הַפְתָּעָה | נְיָר עֲטִיפָה | פּוֹתְחִים בְּהִתְרַגְּשׁוּת
fireworks | חֲשֵׁכָה | קוֹלוֹת פִּיצוּץ | צִבְעוֹנִיִּים וּגְבוֹהִים
flag | עַמּוּד | שְׁנֵי פַּסִּים כְּחֻלִּים | מִתְנוֹפֵף בָּרוּחַ
mangal | פֶּחָמִים | שִׁפּוּדִים | רֵיחַ שֶׁמַּרְגִּישִׁים מֵרָחוֹק
