# id | צמד מילים | דבר קשור | מאפיין
#
# pair    — מילה מופשטת או פעולה, ולא מילה מאותה קטגוריה
# related — חפץ מקטגוריה אחרת שנמצא לְיָדוֹ
# trait   — תכונה אחת שמתאימה גם לעוד כמה מילים, ולא הגדרה
head | חֲשִׁיבָה | כּוֹבַע | עָגֹל וּלְמַעְלָה
luck | הַגְרָלָה | קֻבִּיָּה | לֹא בַּשְּׁלִיטָה
peace | לְחִיצַת יָד | יוֹנָה | סוֹף לְרִיב
quiet | רְגִיעָה | סִפְרִיָּה | בְּלִי רַעַשׁ
patience | תּוֹר | שָׁעוֹן | הַמְתָּנָה רְגוּעָה
curiosity | שְׁאֵלוֹת | זְכוּכִית מַגְדֶּלֶת | רוֹצִים לָדַעַת
respect | הַעֲרָכָה | לְחִיצַת יָד | הַקְשָׁבָה מְלֵאָה
freedom | בְּחִירָה | דֶּלֶת פְּתוּחָה | בְּלִי הַגְבָּלוֹת
justice | חֻקִּים | מִשְׁקָל | שָׁוֶה לְכֻלָּם
truth | גִּלּוּי לֵב | מַבָּט בָּעֵינַיִם | לֹא מִשְׁתַּנָּה
promise | אֶצְבַּע קְטַנָּה | מִכְתָּב | חַיָּבִים לְקַיֵּם
lie | תֵּרוּץ | מַחְבּוֹא | נִתְפָּס בַּסּוֹף
secret | לַחַשׁ | פִּנְקָס נָעוּל | שָׁמוּר הֵיטֵב
time | שָׁעוֹן | לוּחַ שָׁנָה | רַק מִתְקַדֵּם
birthday | נֵרוֹת | מַתָּנוֹת | פַּעַם בְּשָׁנָה
sadness | לֵב שָׁבוּר | שְׂמִיכָה | כָּבֵד וְשָׁקֵט
anger | צְעָקָה | סְפִירָה לְאָחוֹר | פָּנִים אֲדֻמּוֹת
fear | חֲשֵׁכָה | פָּנָס | דֹּפֶק חָזָק
worry | מָחָר | לַיְלָה | מַחֲשָׁבָה חוֹזֶרֶת
hate | רִיב | דֶּלֶת נִטְרֶקֶת | קָשָׁה וּמְעִיקָה
jealousy | שֶׁל אֲחֵרִים | מַתָּנָה | רוֹצִים גַּם
shame | פָּנִים אֲדֻמּוֹת | מַחְבּוֹא | רוֹצִים לְהֵעָלֵם
guilt | הִתְנַצְּלוּת | מִכְתָּב | לֹא מַרְפָּה
disappointment | צִפִּיָּה שֶׁנִּשְׁבְּרָה | טִיּוּל שֶׁבֻּטַּל | נוֹפֵל הַלֵּב
loneliness | חֶדֶר רֵיק | טֶלֶפוֹן | לְגַמְרֵי לְבַד
longing | תְּמוּנָה | טֶלֶפוֹן | רוֹצִים בַּחֲזָרָה
disgust | אֹכֶל מְקֻלְקָל | פַּח | לֹא לִנְגֹּעַ
boredom | נְסִיעָה אֲרֻכָּה | חַלּוֹן מְכוֹנִית | הַשָּׁעוֹן נִתְקָע
tiredness | לַיְלָה | כָּרִית | הָעֵינַיִם נִסְגָּרוֹת
