# id | צמד מילים | דבר קשור | מאפיין
#
# pair    — מילה מופשטת או פעולה, ולא מילה מאותה קטגוריה
# related — חפץ מקטגוריה אחרת שנמצא לְיָדוֹ
# trait   — תכונה אחת שמתאימה גם לעוד כמה מילים, ולא הגדרה
mountain | טִפּוּס | מַקְלוֹת הֲלִיכָה | תָּלוּל וְגָבוֹהַּ
land | סְפִינָה | דַּרְכּוֹן | לֹא יָם
continent | רְחוֹקִים | גְּלוֹבּוּס | עָצוּם וְרָחָב
sea | מְלִיחוּת | מִשְׁקָפֶת | מָלוּח
ocean | מֶרְחָק | אֳנִיָּה | הַגָּדוֹל מִכֻּלָּם
beach | חֻפְשָׁה | מִטְרִיָּה | נִכְנָס לַנַּעֲלַיִם
sea-wave | גְּלִישָׁה | גַּלְשָׁן | עוֹלֶה וְנִשְׁבָּר
foam | סַבּוֹן | דְּלִי | לָבָן וְחוֹלֵף
current | סַכָּנָה | מַצִּיל | מוֹשֵׁךְ בְּשֶׁקֶט
river | מַעֲבָר | גֶּשֶׁר | זוֹרֵם לְכִוּוּן
stream | טִיּוּל | נַעֲלֵי מַיִם | צַר וְקָרִיר
waterfall | רַעַשׁ | מַיִם נוֹפְלִים | נוֹפֵל מִגָּבוֹהַּ
spring | קֹר נָעִים | בַּקְבּוּק | נוֹבֵעַ מֵהָאֲדָמָה
well | שְׁאִיבָה | דְּלִי וְחֶבֶל | עָגֹל וְעָמֹק
lake | דַּיִג | מָשׁוֹט | לֹא מָלוּח
glacier | עֲנָקִיּוּת | סְפִינָה | עֲנָק וְקָפוּא
volcano | פִּיצוּץ | אֵפֶר | מִתְפָּרֵץ לִפְעָמִים
lava | שְׂרֵפָה | מַצְלֵמָה | זוֹרֶמֶת וְשׂוֹרֶפֶת
earthquake | רְעִידָה | שֻׁלְחָן מַחְסֶה | הַכֹּל רוֹעֵד
tsunami | אַזְעָקָה | סִירַת הַצָּלָה | מַגִּיעַ מֵהַיָּם
flood | הַרְבֵּה מִדַּי | מַגָּפַיִם | מְכַסֶּה כְּבִישִׁים
rain | מִטְרִיָּה | מַגָּפַיִם | מַרְטִיב הַכֹּל
drizzle | חַלּוֹן | מִטְרִיָּה מְקֻפֶּלֶת | קַל מְאֹד
showers | הַפְסָקוֹת | מִטְרִיָּה | מַגִּיעִים וְנִפְסָקִים
drop | בֶּרֶז | כּוֹס | הַקְּטַנָּה מִכֻּלָּן
puddle | מַגָּפַיִם | קְפִיצָה | רְדוּדָה וּזְמַנִּית
snow | חֶרְמוֹן | מִזְחֶלֶת | נִדְחָס לְכַדּוּר
hail | רַעַשׁ בַּגַּג | מִכְסֶה לָרֶכֶב | קָשֶׁה וְנוֹפֵל
ice | מַקְפִּיא | כּוֹס | חָלָק וְנָמֵס
frost | בֹּקֶר קַר | מַגֵּב | מַלְבִּין זְכוּכִית
dew | עֲדִינוּת | נַעֲלַיִם | רָטֹב בַּבֹּקֶר
wind | עֲפִיפוֹן | סַפְסָל | בִּלְתִּי נִרְאֵית
gust | הַפְתָּעָה | כּוֹבַע | פִּתְאוֹמִי וְקָצָר
storm | סְגִירַת חַלּוֹנוֹת | תְּרִיס | רוּחַ וְגֶשֶׁם
tempest | פַּחַד | חוֹף סָגוּר | חֲזָקָה וּמַפְחִידָה
hurricane | פִּנּוּי | חַלּוֹנוֹת סְגוּרִים | מִסְתּוֹבֵב בְּעָצְמָה
tornado | מַרְתֵּף | גַּג שֶׁעָף | צַר וּמִסְתּוֹבֵב
cloud | דִּמְיוֹן | מָטוֹס | מְשַׁנֶּה צוּרָה
fog | נְהִיגָה זְהִירָה | פָּנָס | מַסְתִּיר מֶרְחָק
sun | קְרֶם הֲגָנָה | כּוֹבַע | מְסַנְוֵר
shade | קְרִירוּת | סַפְסָל | קָרִיר וְנָעִים
heat | מַזְגָן | מְנִיפָה | מְעַיֵּף מַהֵר
cold | מְעִיל | כְּפָפוֹת | מַרְגִּישִׁים בָּאֶצְבָּעוֹת
heatwave | אַזְהָרָה | בַּקְבּוּק מַיִם | יָמִים רְצוּפִים
hamsin | חַלּוֹן סָגוּר | מַזְגָן | חוֹנֵק וּמְאֻבָּק
dryness | סְדָקִים | קְרֶם | שְׂפָתַיִם נִסְדָּקוֹת
drought | חַקְלָאוּת | כִּנֶּרֶת יוֹרֶדֶת | שָׁנָה יְבֵשָׁה
humidity | דְּבִיקוּת | מְיַבֵּשׁ אֲוִיר | מַרְגִּישִׁים כָּבֵד
lightning | סְפִירָה | חַלּוֹן | מֵאִיר לְרֶגַע
thunder | פַּחַד | חַלּוֹן רוֹעֵד | מְאֻחָר לָאוֹר
rainbow | שֶׁבַע | טִפּוֹת | גֶּשֶׁם וְשֶׁמֶשׁ
weather | שִׁנּוּי | מָסָךְ | מִשְׁתַּנֶּה יוֹמְיוֹם
forecast | חֲדָשׁוֹת | מַפָּה | מְנַבֵּאת מָחָר
temperature | מִסְפָּרִים | מַזְגָן | עוֹלָה וְיוֹרֶדֶת
degrees | מְדִידָה | מַזְגָן | סוֹפְרִים אוֹתָן
thermometer | חוֹלִי | מֵצַח | אוֹמֵר כַּמָּה
clear | כּוֹכָבִים | טֶלֶסְקוֹפּ | בְּלִי הַסְתָּרָה
cloudy | אָפֹר | מִטְרִיָּה | הַשֶּׁמֶשׁ מִסְתַּתֶּרֶת
air | בַּלּוֹן | מַשְׁאֵבָה | בִּלְתִּי נִרְאֶה
sky | מַבָּט לְמַעְלָה | טֶלֶסְקוֹפּ | מַחְלִיף צֶבַע
horizon | רְחוֹק | מִשְׁקָפֶת | תָּמִיד רָחוֹק
view | תַּצְפִּית | מִרְפֶּסֶת | שָׁוֶה עֲצִירָה
nature | טִיּוּל | תַּרְמִיל | בְּלִי בִּנְיָנִים
sunrise | הַתְחָלָה | שָׁעוֹן מְעוֹרֵר | הָאוֹר הָרִאשׁוֹן
sunset | סוֹף יוֹם | כִּסֵּא נוֹחַ | הַשָּׁמַיִם מִתְאַדְּמִים
star | מַשְׁאֶלֶת לֵב | טֶלֶסְקוֹפּ | נִרְאֶה בַּחֲשֵׁכָה
moon | חֳדָשִׁים | טֶלֶסְקוֹפּ | מְשַׁנֶּה צוּרָה
planet | מַעֲרֶכֶת הַשֶּׁמֶשׁ | טֶלֶסְקוֹפּ | מַקִּיף שֶׁמֶשׁ
comet | טֶלֶסְקוֹפּ | שָׁמַיִם לֵילִיִּים | מַשְׁאִיר שֹׁבֶל
earth | הַבַּיִת שֶׁלָּנוּ | גְּלוֹבּוּס | רֻבּוֹ מַיִם
space | חַלָּלִית | חֲלִיפָה לְבָנָה | בְּלִי מִשְׁקָל
light | מַפְסֵק | מְנוֹרָה | מָהִיר מִכֹּל
darkness | פַּחַד | פָּנָס | בְּלִי צְבָעִים
fire | מְדוּרָה | גַּפְרוּר | מְסֻכָּן וּמְחַמֵּם
smoke | מְדוּרָה | מְטַפֶּה | עוֹלֶה לְמַעְלָה
spark | הַתְחָלָה | גַּפְרוּר | קָטָן וְחוֹלֵף
season | לוּחַ שָׁנָה | אָרוֹן בְּגָדִים | מִתְחַלֶּפֶת אַרְבָּעִית
springtime | פַּרְפָּרִים | אוֹפַנַּיִם | נָעִים וּפוֹרֵחַ
summer | חֻפְשָׁה | בְּרֵכָה | הַיּוֹם אָרֹךְ
autumn | יַלְקוּט חָדָשׁ | מַגְרֵפָה | מִתְקָרֵר לְאַט
winter | מְעִיל | מִטְרִיָּה | הַיּוֹם קָצָר
bloom | צְבָעִים | דְּבוֹרִים | הַכֹּל נִפְתָּח
day | לוּחַ שָׁנָה | שָׁעוֹן | בֵּין חֲשֵׁכוֹת
night | שֵׁנָה | פִּיגָ'מָה | שָׁקֵט מְאֹד
morning | שָׁעוֹן מְעוֹרֵר | יַלְקוּט | קָשֶׁה לָקוּם
noon | הַשֶּׁמֶשׁ גְּבוֹהָה | כּוֹבַע | הַכִּי חַם
evening | חֲזָרָה הַבַּיְתָה | פִּיגָ'מָה | מִתְחַשֵּׁךְ לְאַט
midnight | שְׁתֵּים עֶשְׂרֵה | שָׁעוֹן | כֻּלָּם יְשֵׁנִים
