@category אוכל ומשקאות

# ── מנות עיקריות ─────────────────────────────────────────────────────────────
pizza | פיצה | pasta | hamburger | schnitzel | lasagna | sandwich
malawach | מְלַוַּח | jachnun | burekas | crepe | pita | pancake
jachnun | ג'חְנוּן | malawach | burekas | challah | pita | crepe
crepe | קְרֶפּ | pancake | malawach | waffle | toast | quiche
pancake | פַּנְקֵיק | crepe | waffle | toast | omelet | doughnut

# ── לחם ומאפים ───────────────────────────────────────────────────────────────
bread | לחם | pita | challah | slice | toast | pancake
bun | לחמניה | pita | bagel | challah | croissant | pancake
pita | פיתה | bun | challah | falafel | malawach | bagel
challah | חלה | bread | pita | bagel | matzah | pretzel
bagel | ביגל | bun | pretzel | croissant | challah | pita
pretzel | פְּרֶצֶל | bagel | cracker | bun | bisli | snack
croissant | קרואסון | bagel | bun | doughnut | burekas | cake
slice | פְּרוּסָה | bread | toast | sandwich | challah | spread
toast | טוֹסְט | sandwich | slice | bread | pancake | crepe
sandwich | כָּרִיךְ | toast | slice | pita | bread | pizza
matzah | מַצָּה | cracker | bread | challah | pita | slice

# ── מתוקים ומלוחים ───────────────────────────────────────────────────────────
cake | עוגה | doughnut | icecream | chocolate | matzah | sandwich
birthday-cake | עוּגַת גְּבִינָה | doughnut | icecream | whipped-cream | matzah | cracker
cookie | עוגיה | cracker | waffle | chocolate | candy | matzah
cracker | קְרָקֶר | cookie | pretzel | bisli | snack | matzah
waffle | ופל | cookie | crepe | pancake | icecream | chocolate
doughnut | ספגניה | latke | cake | croissant | icecream | waffle
latke | לְבִיבָה | doughnut | pancake | crepe | chips | burekas
hamantaschen | אָזְנֵי הָמָן | cookie | doughnut | latke | candy | icecream
icecream | גלידה | popsicle | artik | milkshake | whipped-cream | cake
popsicle | שַׁלְגּוֹן | artik | icecream | milkshake | candy | lollipop
artik | אַרְטִיק | popsicle | icecream | milkshake | lollipop | candy
chocolate | שוקולד | candy | krembo | cookie | marshmallow | artik
candy | סכריה | lollipop | chocolate | gum | marshmallow | cookie
lollipop | לַקְקָן | candy | gum | popsicle | marshmallow | chocolate
gum | מַסְטִיק | candy | lollipop | marshmallow | chocolate | snack
marshmallow | מַרְשְׁמֶלוֹ | krembo | candy | gum | chocolate | whipped-cream
krembo | קְרֶמְבּוֹ | marshmallow | chocolate | icecream | whipped-cream | doughnut
halva | חלבה | chocolate | candy | cake | honey | jam
whipped-cream | קַצֶּפֶת | cream | icecream | krembo | cake | marshmallow
popcorn | פופקורן | bamba | bisli | snack | cracker | chips
bamba | במבה | bisli | popcorn | snack | cracker | pretzel
bisli | בִּיסְלִי | bamba | popcorn | snack | cracker | pretzel
snack | חֲטִיף | bamba | bisli | popcorn | cracker | candy
honey | דבש | jam | spread | sugar | chocolate | halva
jam | רבה | honey | spread | butter | chocolate | cream
spread | מִמְרָח | jam | butter | honey | tahini | cheese

# ── מהמקרר ───────────────────────────────────────────────────────────────────
milk | חלב | yogurt | cheese | cream | choco | butter
cheese | גבינה | cottage | yogurt | butter | milk | egg
cottage | קוֹטֶג' | cheese | yogurt | cream | milk | butter
yogurt | יוגורט | milk | cottage | cheese | cream | porridge
butter | חמאה | cheese | cream | spread | milk | yogurt
cream | שַׁמֶּנֶת | butter | whipped-cream | milk | yogurt | cottage
porridge | דַּיְסָה | cereal | cornflakes | soup | yogurt | milk
cereal | דִּגְנֵי בֹּקֶר | cornflakes | porridge | milk | snack | cracker
cornflakes | קוֹרְנְפְלֶקְס | cereal | porridge | milk | snack | popcorn

# ── מה ששמים באוכל ───────────────────────────────────────────────────────────
salt | מֶלַח | sugar | oil | vinegar | flour | sauce
sugar | סֻכָּר | salt | flour | honey | oil | cornflakes
flour | קֶמַח | sugar | salt | oil | cake | bread
oil | שֶׁמֶן | vinegar | salt | butter | flour | sauce
vinegar | חֹמֶץ | oil | salt | sauce | mustard | ketchup
ketchup | קֶטְשׁוֹפּ | mayonnaise | mustard | sauce | chips | hamburger
mayonnaise | מָיוֹנֵז | ketchup | mustard | sauce | tuna | sandwich
mustard | חַרְדָּל | ketchup | mayonnaise | sauce | hotdog | vinegar
sauce | רֹטֶב | ketchup | mayonnaise | mustard | oil | pasta

# ── ארוחות ───────────────────────────────────────────────────────────────────
meal | אֲרוּחָה | dessert | menu | sauce | mustard | mayonnaise
breakfast | אֲרוּחַת בֹּקֶר | omelet | sauce | mustard | dessert | mayonnaise
lunch | אֲרוּחַת צָהֳרַיִם | soup | rice | dessert | sauce | portion
dinner | אֲרוּחַת עֶרֶב | soup | salad | dessert | portion | menu
dessert | קִנּוּחַ | cake | icecream | portion | meal | menu
portion | מָנָה | dessert | meal | menu | salad | soup
menu | תַּפְרִיט | portion | meal | dessert | water | juice

# ── שתייה ────────────────────────────────────────────────────────────────────
water | מים | juice | soda | milk | tea | lemonade
juice | מיץ | lemonade | nectar | water | soda | smoothie
lemonade | לימונדה | limonana | juice | gazoz | soda | water
limonana | לימוננע | lemonade | juice | gazoz | soda | smoothie
nectar | נקטר | juice | concentrate | lemonade | syrup | smoothie
concentrate | תרכיז | syrup | nectar | juice | lemonade | gazoz
syrup | סירופ | concentrate | nectar | gazoz | juice | honey
soda | סודה | gazoz | cola | water | juice | lemonade
gazoz | גזוז | soda | cola | lemonade | limonana | syrup
cola | קולה | soda | gazoz | juice | lemonade | water
choco | שוקו | cocoa | milk | milkshake | tea | cola
cocoa | קקאו | choco | milk | coffee | tea | cola
coffee | קפה | tea | cocoa | milk | water | choco
tea | תה | coffee | water | cocoa | juice | milk
milkshake | מילקשיק | smoothie | icecream | choco | milk | tea
shake | שיק | smoothie | juice | icecream | yogurt | tea
smoothie | סמותי | shake | juice | nectar | yogurt | tea
