@category ספורט ומשחקים

# ── משחקי כדור ───────────────────────────────────────────────────────────────
soccer | כדורגל | basketball | volleyball | goal | dodgeball | tennis
archery | קְלִיעָה | fencing | contest | ball | racket | medal

# ── על גלגלים ובשלג ──────────────────────────────────────────────────────────
ski | סקי | snowboard | skating | surfing | climbing | helmet
snowboard | סנובורד | ski | skating | surfing | helmet | archery
skating | החלקה | rollerblades | ski | snowboard | hockey | archery
skateboard | סקייטבורד | rollerblades | snowboard | skating | surfing | helmet
rollerblades | גלגליות | skateboard | skating | helmet | shinguards | climbing
climbing | טפוס | ladder | jump | walking | riding | helmet
riding | רכיבה | climbing | walking | helmet | training | contest
helmet | קסדה | shinguards | skateboard | rollerblades | riding | climbing
shinguards | מָגִנֵּי שׁוֹקַיִם | helmet | soccer | goalkeeper | rollerblades | skateboard

# ── תחרויות ──────────────────────────────────────────────────────────────────
contest | תחרות | championship | tournament | olympics | league | prize
championship | אליפות | tournament | contest | league | olympics | cup
tournament | טוּרְנִיר | championship | contest | league | olympics | cup
league | לִיגָה | championship | tournament | team | nationalteam | contest
olympics | אולימפיאדה | championship | contest | medal | tournament | record
team | קבוצה | nationalteam | league | training | supporter | goalkeeper
nationalteam | נִבְחֶרֶת | team | league | championship | olympics | supporter
medal | מדליה | cup | prize | record | olympics | championship
cup | גביע | medal | prize | championship | tournament | win
prize | פְּרָס | medal | cup | win | championship | record
record | שִׂיא | medal | olympics | stopwatch | prize | marathon
win | נִצָּחוֹן | loss | draw | prize | cup | team
loss | הֶפְסֵד | win | draw | team | contest | prize
draw | תֵּיקוּ | win | loss | contest | team | goal
supporter | אוֹהֵד | crowd | team | nationalteam | hall | league
crowd | קָהָל | supporter | hall | team | contest | whistleblow
hall | אוּלָם | crowd | supporter | contest | team | gymnastics
whistle | מַשְׁרוֹקִית | contest | stopwatch | goal | training | team
whistleblow | שְׁרִיקָה | team | goal | training | crowd | contest
stopwatch | סְטוֹפֶּר | whistle | record | running | marathon | training

# ── משחקי שולחן ──────────────────────────────────────────────────────────────
game | מִשְׂחָק | toy | cards | puzzle | domino | chess
chess | שחמט | checkers | domino | cards | monopoly | game
checkers | דמקה | chess | domino | cards | monopoly | game
domino | דּוֹמִינוֹ | checkers | chess | cards | taki | game
cards | קְלָפִים | taki | domino | monopoly | game | checkers
taki | טָאקִי | cards | monopoly | domino | game | checkers
monopoly | מוֹנוֹפּוֹל | taki | cards | domino | chess | game
puzzle | פָּאזֶל | lego | game | marbles | toy | domino

# ── צעצועים ──────────────────────────────────────────────────────────────────
toy | צַעֲצוּעַ | doll | teddy | lego | game | balloon
doll | בֻּבָּה | teddy | toy | lego | puzzle | balloon
teddy | דֻּבִּי | doll | toy | balloon | lego | puzzle
lego | לֶגוֹ | puzzle | toy | doll | marbles | robot
marbles | גֻּלּוֹת | lego | puzzle | toy | jumprope | hoop
balloon | בַּלּוֹן | kite | toy | teddy | doll | hoop
kite | עֲפִיפוֹן | balloon | toy | jumprope | hoop | drone
robot | רוֹבּוֹט | drone | lego | toy | game | doll
drone | רַחְפָן | robot | kite | toy | game | balloon
jumprope | חֶבֶל קְפִיצָה | hoop | hopscotch | marbles | tag | drone
hoop | חִשּׁוּק | jumprope | balloon | basketball | hopscotch | slide

# ── בחצר המשחקים ─────────────────────────────────────────────────────────────
slide | מַגְלֵשָׁה | swing | trampoline | sandbox | ladder | hopscotch
swing | נַדְנֵדָה | slide | trampoline | sandbox | ladder | hoop
trampoline | טְרַמְפּוֹלִינָה | swing | slide | jump | gymnastics | sandbox
sandbox | אַרְגַּז חוֹל | slide | swing | marbles | trampoline | ladder
ladder | סלם | climbing | slide | swing | trampoline | sandbox
hopscotch | קְלַאס | jumprope | tag | hideandseek | marbles | dodgeball
tag | תּוֹפֶסֶת | hideandseek | hopscotch | jumprope | dodgeball | game
hideandseek | מַחֲבוֹאִים | tag | hopscotch | jumprope | game | dodgeball
