@category הגוף והרגשות

# ── הראש ─────────────────────────────────────────────────────────────────────
head | ראש | face | neck | hair | forehead | brain
wound | פֶּצַע | scratch | bruise | bandaid | bandage | pain
scratch | שְׂרִיטָה | wound | bruise | bandaid | pain | skin
bruise | חַבּוּרָה | scratch | wound | bandaid | pain | knee
bandaid | פְּלַסְטֶר | bandage | wound | scratch | cast | medicine
bandage | תַּחְבּוֹשֶׁת | bandaid | cast | wound | medicine | injection
cast | גֶּבֶס | bandage | bandaid | bone | injection | wound
sick | חוֹלֶה | healthy | medicine | cough | runnynose | pain
healthy | בָּרִיא | sick | strength | medicine | vaccine | rest
cough | שִׁעוּל | sneeze | runnynose | sick | breath | medicine
sneeze | עִטּוּשׁ | cough | runnynose | nose | sick | breath
runnynose | נַזֶּלֶת | sneeze | cough | nose | sick | medicine
medicine | תְּרוּפָה | injection | vaccine | bandaid | sick | healthy
injection | זְרִיקָה | vaccine | medicine | bandage | cast | pain
vaccine | חִסּוּן | injection | medicine | healthy | sick | bandaid

# ── רגשות טובים ──────────────────────────────────────────────────────────────
joy | שמחה | happiness | pleasure | excitement | smile | laughter
happiness | אשר | joy | pleasure | pride | hope | peace
pleasure | הנאה | joy | happiness | excitement | pride | freedom
excitement | התרגשות | joy | surprise | curiosity | happiness | hope
surprise | הפתעה | excitement | curiosity | joy | secret | disappointment
love | אהבה | hug | kiss | friendship | happiness | longing
friendship | חֲבֵרוּת | love | hug | respect | peace | family
family | מִשְׁפָּחָה | friendship | love | hug | respect | age
pride | גאוה | happiness | courage | respect | shame | joy
courage | אמץ | pride | strength | fear | hope | patience
hope | תקוה | dream | happiness | courage | patience | luck
dream | חלום | hope | sleep | thought | secret | memory
luck | מזל | hope | surprise | happiness | dream | freedom
peace | שלום | quiet | happiness | respect | freedom | friendship
quiet | שֶׁקֶט | peace | rest | patience | boredom | sleep
patience | סבלנות | quiet | rest | courage | respect | hope
curiosity | סקרנות | excitement | surprise | thought | secret | hope
respect | כבוד | pride | patience | peace | truth | justice
freedom | חפש | peace | happiness | pleasure | justice | luck
justice | צדק | truth | respect | freedom | lie | peace
truth | אמת | lie | secret | justice | respect | promise
promise | הַבְטָחָה | truth | secret | lie | respect | justice
lie | שקר | truth | secret | justice | shame | guilt
secret | סוד | lie | truth | surprise | curiosity | dream
time | זמן | age | patience | memory | rest | boredom
birthday | יוֹם הֻלֶּדֶת | age | joy | surprise | family | excitement

# ── רגשות קשים ───────────────────────────────────────────────────────────────
sadness | עצב | crying | loneliness | disappointment | longing | tear
anger | כעס | hate | jealousy | shame | sadness | fear
fear | פחד | courage | worry | anger | loneliness | sadness
worry | דאגה | fear | sadness | loneliness | patience | hope
hate | שנאה | anger | jealousy | love | disgust | shame
jealousy | קנאה | anger | hate | pride | shame | sadness
shame | בושה | guilt | pride | jealousy | anger | sadness
guilt | אשמה | shame | lie | sadness | worry | truth
disappointment | אכזבה | sadness | surprise | hope | anger | worry
loneliness | בדידות | sadness | longing | worry | boredom | fear
longing | געגוע | loneliness | sadness | love | memory | family
disgust | געל | hate | anger | taste | smell | shame
boredom | שעמום | tiredness | loneliness | yawn | time | rest
tiredness | עיפות | boredom | sleep | rest | yawn | pain
